post_id,published_at,post_type,caption,post_url,video_length_bucket,views,reach,likes,comments,shares,saves,total_engagements,save_rate,share_rate,engagement_rate,is_reach_missing,global_views_rank,global_engagement_rate_rank
18035382005754783,2026-02-12 05:25:00,ig reel,"When the result failed the performance...

#sachintendulkar #sachin #indvsaus",https://www.instagram.com/reel/DUqNI8XiNE1/,short,1576,785,112,1,30,7,150,0.89,3.82,19.11,false,78,11
18146531545456704,2026-02-05 06:07:00,ig reel,"Steve Bucknor

#sachintendulkar #stevebuckner #msdhoni #ishantsharma #cricketumpire",https://www.instagram.com/reel/DUYQR6VjDxN/,long,696,436,33,1,1,2,37,0.46,0.23,8.49,false,79,64
18006339146839494,2026-01-26 06:16:00,ig reel,"What do you think?

#suryakumaryadav #suryakumaryadavfans  #abhisheksharma #sachintendulkar #t20cricket",https://www.instagram.com/reel/DT-hF2zDMkd/,short,2815,1709,114,0,3,6,123,0.35,0.18,7.2,false,77,69
18136453159447366,2025-09-15 06:42:00,ig reel,"Suryakumar Yadav has had the most successful run for India in T20s since his debut.

Credit: @shebas_10dulkar

#suryakumaryadav #sky #suryakumaryadavfans #sachintendulkar #indvspak",https://www.instagram.com/reel/DOn_adpjD7Y/,short,4144,2591,130,2,37,3,172,0.12,1.43,6.64,false,68,74
18064854515091565,2025-05-29 07:10:00,ig reel,"How the master would look batting left-handed.

#sachintendulkar #sachin",https://www.instagram.com/reel/DKPYWxesw3O/,long,150658,119758,7260,490,2366,539,10655,0.45,1.98,8.9,false,24,61
17999477753792445,2025-05-27 06:51:00,ig reel,"Sachin's two most beautiful shots from the Ind v Pak match in the 2003 wc. 

#sachintendulkar #sachin #icc #indvspak #straightdrive #brixxmediain #ag_agency_ak",https://www.instagram.com/reel/DKKMql5sadb/,medium,444436,302228,25839,284,3361,1313,30797,0.43,1.11,10.19,false,16,57
17880566298201541,2025-05-22 06:55:00,ig reel,"Also the best bowling IPL team ever? 

#sachintendulkar #sachin #mumbaiindians #rohitsharma #rcb #csk #viratkohli #msdhoni #brixxmediain #ag_agency_ak",https://www.instagram.com/reel/DJ9U-EYy_Cd/,short,8000,4891,284,2,32,16,334,0.33,0.65,6.83,false,46,72
18069295928507736,2025-05-20 06:43:00,ig reel,"Part 2 of this series. His records across professions are endless! 

#sachintendulkar #sachin #indvsaus #brixxmediain #ag_agency_ak",https://www.instagram.com/reel/DJ4KDrPsPso/,short,8805,5867,675,9,76,34,794,0.58,1.3,13.53,false,44,36
18028383218691761,2025-05-19 06:58:00,ig reel,"Ladies and gentlemen, presenting Steve Buckner — the man, the myth, the walking DRS error.

#sachintendulkar #stevebuckner #sachin #cricketthrowback #testcricket 
#brixxmediain #ag_agency_ak",https://www.instagram.com/reel/DJ1mXNwM0VG/,long,455423,311985,19487,524,4457,981,25449,0.31,1.43,8.16,false,15,66
18046290791434480,2025-05-17 07:25:00,ig reel,"We’re kicking off this series by highlighting one of his countless achievements that often flies under the radar.
In an ICC knockout match against Australia, not only did Sachin score a masterful 141—but he also delivered 4/38, the best bowling figures by an Indian spinner in an ICC knockout game.

That’s not just rare—it’s legendary.
This is just part one. We’re only scratching the surface of why Sachin truly stands alone.

#sachintendulkar #iccknockout #sachinbowling #icc #indvsaus  #sachin",https://www.instagram.com/reel/DJwgN1ZsceP/,short,16902,12208,1369,10,172,98,1649,0.8,1.41,13.51,false,36,37
18041820983238134,2025-05-10 22:24:00,ig reel,"Can Sachin Tendulkar stop Kohli from saying goodbye to Test cricket?😯
Fans are now pleading with Sachin in the comments, hoping he convinces Virat to reconsider retirement.

#sachintendulkar #viratkohli #rcb #rohitsharma #testcricket #sachin #virat #playkaroIPL2025
#playkaro
#iplpk25",https://www.instagram.com/reel/DJgFdEBIeNo/,short,6504,3795,129,3,47,5,184,0.13,1.24,4.85,false,53,77
