"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18035382005754783,17841469585585053,sachin.tastic,"The man, the myth, the God!","When the result failed the performance...

#sachintendulkar #sachin #indvsaus",9,"02/12/2026 05:25",https://www.instagram.com/reel/DUqNI8XiNE1/,"IG reel",,Lifetime,1576,785,112,30,0,1,7
18146531545456704,17841469585585053,sachin.tastic,"The man, the myth, the God!","Steve Bucknor

#sachintendulkar #stevebuckner #msdhoni #ishantsharma #cricketumpire",33,"02/05/2026 06:07",https://www.instagram.com/reel/DUYQR6VjDxN/,"IG reel",,Lifetime,696,436,33,1,0,1,2
18006339146839494,17841469585585053,sachin.tastic,"The man, the myth, the God!","What do you think?

#suryakumaryadav #suryakumaryadavfans  #abhisheksharma #sachintendulkar #t20cricket",8,"01/26/2026 06:16",https://www.instagram.com/reel/DT-hF2zDMkd/,"IG reel",,Lifetime,2815,1709,114,3,0,0,6
18136453159447366,17841469585585053,sachin.tastic,"The man, the myth, the God!","Suryakumar Yadav has had the most successful run for India in T20s since his debut.

Credit: @shebas_10dulkar

#suryakumaryadav #sky #suryakumaryadavfans #sachintendulkar #indvspak",10,"09/15/2025 06:42",https://www.instagram.com/reel/DOn_adpjD7Y/,"IG reel",,Lifetime,4144,2591,130,37,0,2,3
18064854515091565,17841469585585053,sachin.tastic,"The man, the myth, the God!","How the master would look batting left-handed.

#sachintendulkar #sachin",57,"05/29/2025 07:10",https://www.instagram.com/reel/DKPYWxesw3O/,"IG reel",,Lifetime,150658,119758,7260,2366,127,490,539
17999477753792445,17841469585585053,sachin.tastic,"The man, the myth, the God!","Sachin's two most beautiful shots from the Ind v Pak match in the 2003 wc. 

#sachintendulkar #sachin #icc #indvspak #straightdrive #brixxmediain #ag_agency_ak",26,"05/27/2025 06:51",https://www.instagram.com/reel/DKKMql5sadb/,"IG reel",,Lifetime,444436,302228,25839,3361,443,284,1313
17880566298201541,17841469585585053,sachin.tastic,"The man, the myth, the God!","Also the best bowling IPL team ever? 

#sachintendulkar #sachin #mumbaiindians #rohitsharma #rcb #csk #viratkohli #msdhoni #brixxmediain #ag_agency_ak",9,"05/22/2025 06:55",https://www.instagram.com/reel/DJ9U-EYy_Cd/,"IG reel",,Lifetime,8000,4891,284,32,4,2,16
18069295928507736,17841469585585053,sachin.tastic,"The man, the myth, the God!","Part 2 of this series. His records across professions are endless! 

#sachintendulkar #sachin #indvsaus #brixxmediain #ag_agency_ak",10,"05/20/2025 06:43",https://www.instagram.com/reel/DJ4KDrPsPso/,"IG reel",,Lifetime,8805,5867,675,76,9,9,34
18028383218691761,17841469585585053,sachin.tastic,"The man, the myth, the God!","Ladies and gentlemen, presenting Steve Buckner — the man, the myth, the walking DRS error.

#sachintendulkar #stevebuckner #sachin #cricketthrowback #testcricket 
#brixxmediain #ag_agency_ak",48,"05/19/2025 06:58",https://www.instagram.com/reel/DJ1mXNwM0VG/,"IG reel",,Lifetime,455423,311985,19487,4457,244,524,981
18046290791434480,17841469585585053,sachin.tastic,"The man, the myth, the God!","We’re kicking off this series by highlighting one of his countless achievements that often flies under the radar.
In an ICC knockout match against Australia, not only did Sachin score a masterful 141—but he also delivered 4/38, the best bowling figures by an Indian spinner in an ICC knockout game.

That’s not just rare—it’s legendary.
This is just part one. We’re only scratching the surface of why Sachin truly stands alone.

#sachintendulkar #iccknockout #sachinbowling #icc #indvsaus  #sachin",10,"05/17/2025 07:25",https://www.instagram.com/reel/DJwgN1ZsceP/,"IG reel",,Lifetime,16902,12208,1369,172,23,10,98
18041820983238134,17841469585585053,sachin.tastic,"The man, the myth, the God!","Can Sachin Tendulkar stop Kohli from saying goodbye to Test cricket?😯
Fans are now pleading with Sachin in the comments, hoping he convinces Virat to reconsider retirement.

#sachintendulkar #viratkohli #rcb #rohitsharma #testcricket #sachin #virat #playkaroIPL2025
#playkaro
#iplpk25",10,"05/10/2025 22:24",https://www.instagram.com/reel/DJgFdEBIeNo/,"IG reel",,Lifetime,6504,3795,129,47,1,3,5
18060333443116789,17841469585585053,sachin.tastic,"The man, the myth, the God!","Kohli in the 2014 Tests was something else. Every shot thudded off the middle like he was born for it. But more than the runs, it was the visual aggression—the body language, the stare-downs, the way he owned Australia in their own den. No one had seen an Indian batter like that before. He really might be the last of his kind. Is his Test era finally ending—or has it ended for good? Is the great Indian test era going to fade away with his departure?

#viratkohli #virat #testcricket #indvsaus #sachintendulkar #cricketaustralia #rohitsharma #playkaro IPL2025
#playkaro
#iplpk25",60,"05/10/2025 06:35",https://www.instagram.com/reel/DJeZMOMsbow/,"IG reel",,Lifetime,3436,2819,230,8,1,1,11
17873591922246177,17841469585585053,sachin.tastic,"The man, the myth, the God!","Is the rise of IPL and T20 cricket slowly killing the art of elegant strokeplay?

#viratkohli #rcb #sachintendulkar #ajinkyarahane #sachin #virat #testcricket #playkaroIPL2025
#playkaro
#iplpk25",60,"05/09/2025 07:35",https://www.instagram.com/reel/DJb7CeGsUX5/,"IG reel",,Lifetime,4412,3595,369,34,2,2,25
18474551251068873,17841469585585053,sachin.tastic,"The man, the myth, the God!","Bro is the reason they had to invent ""Chronological Order.""

#sachintendulkar #sachin #viratkohli #virat #msdhoni #rohitsharma #ipl2025 #rcb #csk #mumbaiindians #playkaroIPL2025
#playkaro
#iplpk25",10,"05/08/2025 06:29",https://www.instagram.com/reel/DJZO9_Zs9Jw/,"IG reel",,Lifetime,20017,10742,499,80,4,53,11
18302953066245963,17841469585585053,sachin.tastic,"The man, the myth, the God!","Rohit Sharma started his Test journey in 2013 with Sachin's last test series and made a stellar start with a century, impressing the God of cricket. 

#sachin #sachintendulkar #rohitsharma #rohitsharmaretirement #testcricket #indiancricketteam
#playkaroIPL2025
#playkaro
#iplpk25",10,"05/07/2025 20:17",https://www.instagram.com/reel/DJYI_l9oLn8/,"IG reel",,Lifetime,16341,11667,1394,55,2,10,28
18067407376800478,17841469585585053,sachin.tastic,"The man, the myth, the God!","He owned every stroke in the game 😍

#sachintendulkar #sachin #sureshraina #testcricket #coverdrive #icc #cricketshots 
#playkaroIPL2025
#playkaro
#iplpk25",57,"05/07/2025 05:57",https://www.instagram.com/reel/DJWmfEJMgiC/,"IG reel",,Lifetime,50332,38618,6481,1133,67,94,371
17845398279459067,17841469585585053,sachin.tastic,"The man, the myth, the God!","What's your favourite memory of Steve Buckner?☝️

#sachintendulkar #sachin #umpire #westindies #viratkohli #msdhoni #rohitsharma #jaspritbumrah #hardikpandya #ipl #ipl2025 #testcricket",40,"05/06/2025 06:12",https://www.instagram.com/reel/DJUDfQ4MaMt/,"IG reel",,Lifetime,515652,396734,39202,5099,141,363,1808
17907544740039024,17841469585585053,sachin.tastic,"The man, the myth, the God!","Tendulkar then; Kohli now😉

@shebas_10dulkar

#sachintendulkar #sachin #viratkohli #virat #ipl #ipl2025 #rcb #mumbaiindians #royalchallengersbengaluru #rcbfans #mifans",10,"05/04/2025 06:33",https://www.instagram.com/reel/DJO8B1IsnfS/,"IG reel",,Lifetime,183935,101539,18747,2320,26,107,491
17959386476923839,17841469585585053,sachin.tastic,"The man, the myth, the God!","Ahead of today’s young T20 powerhouses—Tendulkar was also the fastest Indian to reach 1000 IPL runs, a record only recently broken by Sai Sudarshan!

@shebas_10dulkar 👈Check out this statsmaster

#sachintendulkar #ipl #ipl2025 #sachin #saisudarshan #t20cricket #mumbaiindians",10,"05/02/2025 08:18",https://www.instagram.com/reel/DJJ9_MXMb38/,"IG reel",,Lifetime,1522714,718915,67581,11707,213,383,1690
17963705783768461,17841469585585053,sachin.tastic,"The man, the myth, the God!","Goenka's PR plan: hire RVCJ, the 🎀smartest🎀 admin on the internet. Step 2 — worsen his image further instead.

#rvcj #sanjivgoenka #rishabpant #lsg #lucknowsupergiants #ipl #msdhoni #viratkohli #rohitsharma #klrahul #sachintendulkar #vaibhavsuryavanshi #ipl2025 #rvcjinsta #rcb #csk #mumbaiindians",12,"04/29/2025 05:54",https://www.instagram.com/reel/DJB_2xGs9hw/,"IG reel",,Lifetime,7830,4251,140,55,0,1,18
17980622819826843,17841469585585053,sachin.tastic,"The man, the myth, the God!","He wasn't even an all-rounder, folks😉

#sachintendulkar #sachin #englandcricket #jaspritbumrah #joshhazlewood #patcummins #bhuvaneshwarkumar #testcricket",22,"04/28/2025 06:04",https://www.instagram.com/reel/DI_cOEMM3vS/,"IG reel",,Lifetime,822468,551187,86793,14130,372,518,2722
17938996631881066,17841469585585053,sachin.tastic,"The man, the myth, the God!","Happy Birthday to the greatest cricketer of all time—with over 34 thousand runs and 201 wickets.

 Sachin Ramesh Tendulkar 🙏

#sachin #sachintendulkar #sachinbirthday #viratkohli #rohitsharma #msdhoni #thankyousachin",34,"04/24/2025 06:54",https://www.instagram.com/reel/DI1OZJpIPqE/,"IG reel",,Lifetime,2858,2181,297,40,2,1,24
18057935222125223,17841469585585053,sachin.tastic,"The man, the myth, the God!","Crowd packed. Chants loud. Sachin on strike. Same energy. Same chills. You can’t kill a vibe that became a religion.

@sachintendulkar 🛐 

#sachintendulkar #imlt20 #sachin #sachinsachin #t20cricket",37,"04/21/2025 06:03",https://www.instagram.com/reel/DItaeWAIfrn/,"IG reel",,Lifetime,7573,5706,603,124,4,5,36
18057704270175393,17841469585585053,sachin.tastic,"The man, the myth, the God!","Nostalgic 🥹

#sachin #sachintendulkar #tendulkar #2011wc",54,"04/11/2025 05:17",https://www.instagram.com/reel/DITlOINMI0c/,"IG reel",,Lifetime,12748,9694,1388,208,9,19,114
