"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18047743444804335,17841469585585053,sachin.tastic,"The man, the myth, the God!","Virat narrates how he and @yuvisofficial and @harbhajan3 kneeled before Sachin Tendulkar to sing a song for him😍

@shebas_10dulkar  @sachinborntowin  @sachinsuperfan  @sachinsaga.game

#sachintendulkar #indiacricket #sachin #arjuntendulkar #viratkohli #yuvrajsingh #harbhajansingh",33,"10/04/2024 08:03",https://www.instagram.com/reel/DAtOEaDIyf5/,"IG reel",,Lifetime,4584,3063,257,29,1,5,13
18008349485458936,17841469585585053,sachin.tastic,"The man, the myth, the God!","Sachin Tendulkar crosses the 50k run mark in a CLT20 game. The screams perfectly summarize his stature during that time.

@sachintendulkar @sachintendulkarfoundation
@shebas_10dulkar  @sachinborntowin @olamadalcricket 

Credit: Vinay Mishra on YT.

#sachintendulkar #indiacricket #arjuntendulkar #sachin #indiacricketteam #indianteam 
#saratendulkar",40,"10/06/2024 06:46",https://www.instagram.com/reel/DAyObi9oEmo/,"IG reel",,Lifetime,3235,2667,180,1,1,5,13
17890203084096975,17841469585585053,sachin.tastic,"The man, the myth, the God!","Tendulkar's 98 against Pak in the 2003 world cup with Tumbbad Anthem's insane music😉

@shebas_10dulkar  @olamadalcricket  @sachintendulkar @sachinborntowin @100masterblaster 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #indiacricketteam #indianteam #saratendulkar #tumbbad #tumbbadthefilm",59,"10/11/2024 06:41",https://www.instagram.com/reel/DA_F9GOIyzg/,"IG reel",,Lifetime,3787,3050,197,2,2,2,11
18252914875251367,17841469585585053,sachin.tastic,"The man, the myth, the God!","The giant and the giant slayer's legendary battle. 

@shebas_10dulkar @sachinborntowin @olamadalcricket @sachintendulkar @arjuntendulkar24 @curtlyambrose_ @saratendulkar 

#sachin #sachintendulkar #curtlyambrose #arjuntendulkar #saratendulkar",59,"10/13/2024 07:56",https://www.instagram.com/reel/DBEYF-NoFQn/,"IG reel",,Lifetime,4459,3206,246,7,13,6,17
17881606101137727,17841469585585053,sachin.tastic,"The man, the myth, the God!","Screams by Australians in an Australian stadium for the legendary @sachintendulkar in the match presentation of the 2015 ODI World Cup. 

@shebas_10dulkar @olamadalcricket @michaelclarkeofficial @sachinborntowin @sachin_tendulkar_big_fanclub @sachinfansclub_10 @sudhir.10dulkar @saratendulkar @arjuntendulkar24 @icc

#sachintendulkar #sachin #arjuntendulkar #saratendulkar #indianteam #2015wc #indiacricket #indiacricketteam #indianteam  #icc  #bcci

 Do you agree?",29,"10/15/2024 08:30",https://www.instagram.com/reel/DBJlBryIpZK/,"IG reel",,Lifetime,545353,333808,67230,8381,181,330,3572
18008114294473777,17841469585585053,sachin.tastic,"The man, the myth, the God!","Sachin Tendulkar has more Odi wickets than many full-time bowers☠️

@sachintendulkar 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #saratendulkar #indiacricketteam #indianteam #icc #bcci #jaspritbumrah #bumrah #bhuvaneshwarkumar #patcummins #joshhazlewood",15,"10/20/2024 09:57",https://www.instagram.com/reel/DBWn0CfOGBh/,"IG reel",,Lifetime,161113,88959,12622,5906,55,272,860
18082160593531305,17841465867687808,ict2000s,"Sachin x Rahul x Sourav = Holy Trinity 💛","I'm not crying 😭",78,"10/26/2024 03:46",https://www.instagram.com/reel/DBlaAk1vdHG/,"IG reel",,Lifetime,919485,,112871,19095,,2681,0
18037027421021440,17841469585585053,sachin.tastic,"The man, the myth, the God!","Saqlain Mushtaq on Sachin Tendulkar 🔥
@saqlain_mushtaq_ @sachintendulkar 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #saratendulkar #indiacricketteam #indianteam #icc #bcci",85,"10/27/2024 09:07",https://www.instagram.com/reel/DBojRu5o8GV/,"IG reel",,Lifetime,3955,3250,182,29,15,1,9
17877770997179102,17841469585585053,sachin.tastic,"The man, the myth, the God!","Tendulkar's 50th test century at the age of 37 against the likes of Steyn, Morne, and Kallis🤯
@sachintendulkar 

#sachintendulkar #arjuntendulkar #sachin #indiacricket #indiacricketteam #indianteam #icc #saratendulkar",64,"11/03/2024 06:29",https://www.instagram.com/reel/DB6aAvjosDv/,"IG reel",,Lifetime,1777332,1330018,208935,21702,841,1022,7932
17943651311911119,17841469585585053,sachin.tastic,"The man, the myth, the God!","Sachin toyed with the bowlers before getting bowled to Kumble at 125 runs. One of the greatest innings at one of the most iconic cricketing venues. 
@sachintendulkar 

#sachintendulkar
#sachin #arjuntendulkar #lords #icc #saratendulkar #bcci #indiacricketteam #shanewarne",66,"11/12/2024 06:37",https://www.instagram.com/reel/DCRmEPRIH94/,"IG reel",,Lifetime,6328,5234,448,96,18,5,56
